id,name,type,age,role,company,department,location,salary,experience,skills
29,Carlos Rodriguez,Person,40,VP Engineering,BigTech,Executive,San Francisco,200000,16,"Leadership,Strategy,Scaling"
30,Diane Kim,Person,26,Junior Data Scientist,DataCorp,Analytics,Boston,72000,2,"Python,Statistics,Pandas"
31,Eddie Garcia,Person,34,Infrastructure Engineer,CloudTech,Infrastructure,Seattle,94000,7,"Kubernetes,Docker,Monitoring"
32,Fiona Lee,Person,31,Business Analyst,FinTech,Business,New York,83000,6,"SQL,Business Intelligence,Requirements"
33,George Patel,Person,38,Senior Architect,EnterpriseTech,Architecture,Chicago,128000,12,"Enterprise Architecture,Java,SOA"
34,Hannah Brown,Person,27,Content Strategist,MediaCorp,Marketing,Los Angeles,65000,4,"Content Strategy,SEO,Analytics"
35,Ian Taylor,Person,32,Blockchain Developer,CryptoTech,Engineering,Miami,98000,5,"Solidity,Ethereum,Web3"
36,Julia Davis,Person,30,Technical Recruiter,TalentCorp,HR,Austin,68000,5,"Recruiting,Technical Screening,Networking"
37,Kevin Zhang,Person,36,API Developer,APICorp,Engineering,Seattle,91000,8,"REST,GraphQL,Microservices"
38,Laura Martinez,Person,28,Performance Engineer,SpeedTech,Engineering,Portland,86000,4,"Performance Testing,Optimization,Profiling"
39,Mike Johnson,Person,41,Director of Engineering,TechCorp,Leadership,San Francisco,165000,14,"Leadership,Strategy,Team Building"
40,Nina Chen,Person,25,Graduate Developer,StartupABC,Engineering,Boulder,62000,1,"Python,Git,Learning"
41,Oscar Kim,Person,33,Release Manager,DeployTech,Operations,Remote,84000,6,"CI/CD,Release Management,Git"
42,Paula Rodriguez,Person,29,UX Researcher,ResearchCorp,Research,San Francisco,81000,5,"User Research,Usability Testing,Design Thinking"
43,Quincy Lee,Person,37,Staff Engineer,BigTech,Engineering,Mountain View,155000,12,"Distributed Systems,Go,Leadership"
44,Rita Patel,Person,31,Integration Developer,IntegrationCorp,Engineering,Dallas,87000,6,"APIs,Integration,Middleware"
45,Steve Brown,Person,34,DevSecOps Engineer,SecureTech,Security,Washington DC,96000,7,"Security,DevOps,Compliance"
46,Tara Wilson,Person,26,Junior UX Designer,DesignStudio,Design,Los Angeles,58000,2,"Design,Prototyping,User Experience"
47,Umar Garcia,Person,39,Senior Product Manager,ProductCorp,Product,San Francisco,118000,10,"Product Strategy,Roadmapping,Analytics"
48,Vera Kim,Person,32,Test Automation Engineer,TestCorp,Quality,Denver,79000,6,"Automation,Testing,CI/CD"
49,Will Martinez,Person,28,Frontend Architect,WebStudio,Engineering,Portland,102000,7,"Frontend Architecture,Performance,Scalability"
50,Xara Chen,Person,35,Chief Data Officer,DataCorp,Executive,Boston,175000,13,"Data Strategy,Analytics,Leadership"
51,TechCorp,Company,15,Technology Company,Self,Technology,San Francisco,50000000,15,"Software Development,Cloud Services,AI"
52,DesignStudio,Company,8,Design Agency,Self,Creative,Los Angeles,5000000,8,"UI/UX Design,Branding,Digital Design"
53,CloudTech,Company,12,Cloud Services,Self,Technology,Seattle,25000000,12,"Cloud Computing,Infrastructure,DevOps"
54,StartupXYZ,Company,3,Tech Startup,Self,Technology,Austin,2000000,3,"Mobile Apps,Web Development,Innovation"
55,DataCorp,Company,10,Data Analytics,Self,Analytics,Boston,15000000,10,"Big Data,Machine Learning,Analytics"
56,SecureTech,Company,7,Cybersecurity,Self,Security,Washington DC,8000000,7,"Cybersecurity,Risk Management,Compliance"
57,WebStudio,Company,6,Web Development,Self,Technology,Portland,3000000,6,"Web Development,E-commerce,Digital Solutions"
58,TestCorp,Company,9,Quality Assurance,Self,Quality,Denver,4000000,9,"Software Testing,QA Services,Automation"
59,AppStudio,Company,5,Mobile Development,Self,Technology,Miami,6000000,5,"Mobile Apps,iOS,Android"
60,MLCorp,Company,4,AI/ML Company,Self,AI,Palo Alto,12000000,4,"Machine Learning,AI,Data Science"
61,React,Technology,10,JavaScript Library,Facebook,Frontend,Global,0,10,"Frontend,Component-Based,Virtual DOM"
62,Python,Technology,30,Programming Language,Python Foundation,Programming,Global,0,30,"General Purpose,Data Science,Web Development"
63,Java,Technology,25,Programming Language,Oracle,Programming,Global,0,25,"Enterprise,Backend,Cross-Platform"
64,AWS,Technology,17,Cloud Platform,Amazon,Cloud,Global,0,17,"Cloud Computing,Infrastructure,Scalability"
65,Docker,Technology,10,Containerization,Docker Inc,DevOps,Global,0,10,"Containerization,Microservices,Deployment"
66,Kubernetes,Technology,8,Container Orchestration,CNCF,DevOps,Global,0,8,"Container Orchestration,Scaling,Management"
67,PostgreSQL,Technology,25,Database,PostgreSQL Global,Database,Global,0,25,"Relational Database,ACID,Performance"
68,MongoDB,Technology,12,NoSQL Database,MongoDB Inc,Database,Global,0,12,"Document Database,Scalability,Flexibility"
69,Node.js,Technology,12,JavaScript Runtime,Node.js Foundation,Backend,Global,0,12,"Server-side JavaScript,Event-driven,Scalable"
70,Angular,Technology,13,Frontend Framework,Google,Frontend,Global,0,13,"Single Page Applications,TypeScript,Enterprise"
71,Vue.js,Technology,8,Frontend Framework,Evan You,Frontend,Global,0,8,"Progressive Framework,Approachable,Versatile"
72,Spring,Technology,20,Java Framework,Pivotal,Backend,Global,0,20,"Enterprise Java,Dependency Injection,MVC"
73,TensorFlow,Technology,8,ML Framework,Google,AI,Global,0,8,"Machine Learning,Deep Learning,Neural Networks"
74,Redis,Technology,13,In-Memory Database,Redis Labs,Database,Global,0,13,"Caching,Session Store,Real-time"
75,Kafka,Technology,12,Streaming Platform,Apache,Data,Global,0,12,"Event Streaming,Real-time,Distributed"
76,Elasticsearch,Technology,13,Search Engine,Elastic,Search,Global,0,13,"Full-text Search,Analytics,Distributed"
77,Jenkins,Technology,16,CI/CD Tool,CloudBees,DevOps,Global,0,16,"Continuous Integration,Automation,Pipeline"
78,Git,Technology,16,Version Control,Linus Torvalds,Development,Global,0,16,"Version Control,Distributed,Collaboration"
79,Terraform,Technology,9,Infrastructure as Code,HashiCorp,DevOps,Global,0,9,"Infrastructure,Automation,Multi-cloud"
80,Figma,Technology,9,Design Tool,Figma Inc,Design,Global,0,9,"UI Design,Collaboration,Prototyping"
81,Engineering,Department,0,Technical Department,Various,Technology,Global,0,0,"Software Development,Technical Innovation,Product Building"
82,Product,Department,0,Product Department,Various,Business,Global,0,0,"Product Strategy,Roadmapping,User Experience"
83,Design,Department,0,Design Department,Various,Creative,Global,0,0,"User Experience,Visual Design,Prototyping"
84,Operations,Department,0,Operations Department,Various,Operations,Global,0,0,"Infrastructure,Deployment,Monitoring"
85,Analytics,Department,0,Data Department,Various,Data,Global,0,0,"Data Analysis,Business Intelligence,Insights"
86,Security,Department,0,Security Department,Various,Security,Global,0,0,"Information Security,Risk Management,Compliance"
87,Quality,Department,0,QA Department,Various,Quality,Global,0,0,"Testing,Quality Assurance,Bug Prevention"
88,Documentation,Department,0,Documentation Department,Various,Content,Global,0,0,"Technical Writing,Documentation,Knowledge Management"
89,Infrastructure,Department,0,Infrastructure Department,Various,Technology,Global,0,0,"System Administration,Cloud Management,Scalability"
90,Executive,Department,0,Executive Department,Various,Leadership,Global,0,0,"Strategic Planning,Leadership,Decision Making"
91,San Francisco,Location,0,City,California,West Coast,USA,0,0,"Tech Hub,Innovation,High Cost of Living"
92,New York,Location,0,City,New York,East Coast,USA,0,0,"Financial Center,Diverse,Fast-paced"
93,Los Angeles,Location,0,City,California,West Coast,USA,0,0,"Entertainment,Creative,Diverse"
94,Seattle,Location,0,City,Washington,West Coast,USA,0,0,"Tech Industry,Coffee,Innovation"
95,Austin,Location,0,City,Texas,South,USA,0,0,"Tech Scene,Music,Keep it Weird"
96,Boston,Location,0,City,Massachusetts,East Coast,USA,0,0,"Education,Healthcare,Technology"
97,Washington DC,Location,0,City,District of Columbia,East Coast,USA,0,0,"Government,Policy,Security"
98,Portland,Location,0,City,Oregon,West Coast,USA,0,0,"Tech,Sustainability,Creative"
99,Denver,Location,0,City,Colorado,Mountain,USA,0,0,"Growing Tech Scene,Outdoor,Quality of Life"
100,Miami,Location,0,City,Florida,Southeast,USA,0,0,"International Business,Tourism,Growing Tech"
101,Sarah Johnson,Person,29,Backend Developer,TechCorp,Engineering,San Francisco,92000,5,"Python,Django,PostgreSQL"
102,Michael Davis,Person,31,Product Designer,DesignStudio,Design,Los Angeles,78000,6,"UI/UX,Figma,User Research"
103,Emily Zhang,Person,27,Data Analyst,DataCorp,Analytics,Boston,74000,4,"SQL,Python,Tableau"
104,David Wilson,Person,33,Cloud Architect,CloudTech,Architecture,Seattle,118000,9,"AWS,Azure,Infrastructure"
105,Lisa Chen,Person,26,Mobile Developer,AppStudio,Engineering,Miami,79000,4,"Flutter,React Native,Mobile UI"
106,Robert Garcia,Person,38,Engineering Manager,TechCorp,Leadership,New York,128000,12,"Team Leadership,Agile,Strategy"
107,Jennifer Lee,Person,30,UX Researcher,ResearchCorp,Research,San Francisco,85000,6,"User Research,Usability,Design Thinking"
108,William Brown,Person,35,DevOps Engineer,CloudTech,Operations,Seattle,94000,8,"Docker,Kubernetes,CI/CD"
109,Jessica Martinez,Person,28,Frontend Developer,WebStudio,Engineering,Portland,76000,4,"React,TypeScript,CSS"
110,Christopher Taylor,Person,32,Data Engineer,DataCorp,Analytics,Boston,88000,6,"Spark,Hadoop,ETL"
111,Amanda Rodriguez,Person,29,Quality Engineer,TestCorp,Quality,Denver,71000,5,"Testing,Automation,Selenium"
112,Matthew Anderson,Person,36,Senior Developer,TechCorp,Engineering,San Francisco,108000,10,"Java,Spring,Microservices"
113,Ashley Wilson,Person,25,Junior Designer,DesignStudio,Design,Los Angeles,55000,2,"Design,Sketch,Prototyping"
114,Joshua Davis,Person,34,Security Analyst,SecureTech,Security,Washington DC,87000,7,"Cybersecurity,Risk Assessment,Compliance"
115,Stephanie Garcia,Person,31,Product Manager,ProductCorp,Product,San Francisco,98000,7,"Product Strategy,Analytics,Roadmapping"
116,Daniel Kim,Person,37,Staff Engineer,BigTech,Engineering,Mountain View,148000,11,"Distributed Systems,Scalability,Leadership"
117,Michelle Chen,Person,28,Technical Writer,TechCorp,Documentation,San Francisco,68000,4,"Documentation,API Docs,Technical Communication"
118,Kevin Martinez,Person,33,Solutions Engineer,CloudTech,Solutions,Seattle,91000,7,"Pre-sales,Technical Solutions,Customer Success"
119,Lauren Anderson,Person,26,Data Scientist,MLCorp,AI,Palo Alto,95000,4,"Machine Learning,Python,Statistics"
120,Brian Lee,Person,39,Director of Product,ProductCorp,Leadership,San Francisco,155000,13,"Product Leadership,Strategy,Vision"
121,Samantha Brown,Person,30,Full Stack Developer,WebDev,Engineering,Remote,85000,6,"MEAN Stack,JavaScript,REST APIs"
122,Anthony Wilson,Person,32,Site Reliability Engineer,CloudTech,Operations,Seattle,89000,6,"Monitoring,Automation,Incident Response"
123,Nicole Davis,Person,27,Business Analyst,FinTech,Business,New York,76000,4,"Requirements,SQL,Business Intelligence"
124,Ryan Garcia,Person,35,Principal Engineer,TechCorp,Engineering,New York,135000,12,"Architecture,Mentoring,Technical Leadership"
125,Megan Kim,Person,29,Integration Developer,IntegrationCorp,Engineering,Dallas,82000,5,"APIs,Middleware,System Integration"
126,Jason Martinez,Person,31,Performance Engineer,SpeedTech,Engineering,Portland,84000,6,"Load Testing,Optimization,Profiling"
127,Rachel Chen,Person,28,Customer Success Manager,SaaSTech,Customer Success,Chicago,73000,5,"Account Management,Customer Retention,SaaS"
128,Andrew Anderson,Person,36,VP of Engineering,StartupXYZ,Executive,Austin,165000,14,"Engineering Leadership,Scaling,Strategy"
129,Heather Lee,Person,25,Graduate Developer,TechCorp,Engineering,San Francisco,68000,2,"Learning,JavaScript,Problem Solving"
130,Tyler Brown,Person,33,Release Engineer,DeployTech,Operations,Remote,81000,7,"Release Management,Git,Automation"
131,Kimberly Wilson,Person,30,UX Designer,DesignStudio,Design,Los Angeles,74000,5,"User Experience,Wireframing,Interaction Design"
132,Justin Davis,Person,34,Database Administrator,DataCorp,Infrastructure,Boston,86000,8,"Database Management,Performance Tuning,Backup"
133,Brittany Garcia,Person,27,API Developer,APICorp,Engineering,Seattle,78000,4,"REST APIs,GraphQL,Documentation"
134,Brandon Kim,Person,32,Technical Lead,TechCorp,Engineering,San Francisco,115000,9,"Technical Leadership,Architecture,Code Review"
135,Danielle Martinez,Person,29,Scrum Master,AgileCorp,Process,San Diego,75000,5,"Agile,Scrum,Team Facilitation"
136,Gregory Chen,Person,38,Chief Technology Officer,StartupXYZ,Executive,Austin,175000,15,"Technology Strategy,Leadership,Innovation"
137,Courtney Anderson,Person,26,Junior Data Analyst,DataCorp,Analytics,Boston,65000,2,"SQL,Excel,Data Visualization"
138,Nathan Lee,Person,31,Infrastructure Engineer,CloudTech,Infrastructure,Seattle,88000,6,"Cloud Infrastructure,Networking,Security"
139,Crystal Brown,Person,28,Content Manager,MediaCorp,Marketing,Los Angeles,64000,4,"Content Strategy,SEO,Social Media"
140,Marcus Wilson,Person,35,Blockchain Developer,CryptoTech,Engineering,Miami,102000,6,"Blockchain,Smart Contracts,Cryptocurrency"
141,Vanessa Davis,Person,30,Technical Recruiter,TalentCorp,HR,Austin,69000,5,"Technical Recruiting,Sourcing,Interview Process"
142,Aaron Garcia,Person,33,System Administrator,SysAdminCorp,Operations,Chicago,79000,7,"System Administration,Linux,Windows Server"
143,Tiffany Kim,Person,27,Marketing Analyst,MarketingCorp,Marketing,New York,71000,4,"Marketing Analytics,Campaign Analysis,ROI"
144,Jonathan Martinez,Person,36,Senior Product Manager,ProductCorp,Product,San Francisco,112000,9,"Product Management,Strategy,Cross-functional Leadership"
145,Melanie Chen,Person,29,Test Engineer,TestCorp,Quality,Denver,73000,5,"Manual Testing,Test Planning,Bug Reporting"
146,Sean Anderson,Person,32,Software Architect,ArchitectureCorp,Architecture,Seattle,125000,10,"Software Architecture,Design Patterns,Technical Strategy"
147,Alexis Lee,Person,25,UI Developer,WebStudio,Engineering,Portland,67000,3,"User Interface,CSS,JavaScript"
148,Jordan Brown,Person,34,Operations Manager,OpsCorp,Operations,Dallas,92000,8,"Operations Management,Process Improvement,Team Leadership"
149,Sabrina Wilson,Person,28,Data Visualization Specialist,DataCorp,Analytics,Boston,77000,4,"Data Visualization,D3.js,Tableau"
150,Kyle Davis,Person,31,Security Engineer,SecureTech,Security,Washington DC,90000,6,"Information Security,Penetration Testing,Risk Management"
151,Cassandra Garcia,Person,26,Junior Product Manager,ProductCorp,Product,San Francisco,72000,3,"Product Management,Market Research,User Stories"
152,Eric Kim,Person,37,Distinguished Engineer,BigTech,Engineering,Mountain View,165000,13,"Technical Excellence,Innovation,Mentoring"
153,Jenna Martinez,Person,30,Business Intelligence Analyst,BICorp,Analytics,Chicago,81000,6,"Business Intelligence,Data Warehousing,Reporting"
154,Adam Chen,Person,33,Platform Engineer,PlatformCorp,Engineering,San Francisco,98000,7,"Platform Development,Microservices,API Design"
155,Lindsey Anderson,Person,28,Digital Marketing Manager,MarketingCorp,Marketing,Los Angeles,78000,5,"Digital Marketing,PPC,Social Media"
156,Scott Lee,Person,35,Senior Security Analyst,SecureTech,Security,Washington DC,95000,8,"Security Analysis,Threat Detection,Incident Response"
157,Kristen Brown,Person,27,Junior UX Designer,DesignStudio,Design,Los Angeles,59000,2,"User Experience,Prototyping,User Testing"
158,Patrick Wilson,Person,32,Technical Program Manager,TechCorp,Program Management,San Francisco,105000,8,"Program Management,Cross-functional Coordination,Risk Management"
159,Alison Davis,Person,29,Content Strategist,ContentCorp,Marketing,Austin,70000,5,"Content Strategy,Editorial,Brand Voice"
160,Timothy Garcia,Person,36,Senior Solutions Architect,CloudTech,Architecture,Seattle,130000,11,"Solutions Architecture,Customer Engagement,Technical Sales"
161,Jaime Kim,Person,25,Graduate Software Engineer,TechCorp,Engineering,San Francisco,75000,1,"Software Development,Learning,Problem Solving"
162,Kathryn Martinez,Person,31,Product Marketing Manager,ProductCorp,Marketing,San Francisco,89000,6,"Product Marketing,Go-to-market,Competitive Analysis"
163,Charles Chen,Person,34,Senior Data Engineer,DataCorp,Analytics,Boston,96000,8,"Data Engineering,Big Data,Pipeline Development"
164,Monica Anderson,Person,28,QA Analyst,TestCorp,Quality,Denver,68000,4,"Quality Assurance,Test Cases,Defect Tracking"
165,Douglas Lee,Person,33,Engineering Manager,TechCorp,Leadership,New York,122000,9,"Engineering Management,Team Building,Technical Strategy"
166,Julie Brown,Person,30,UX Strategist,StrategyUX,Strategy,San Francisco,88000,6,"UX Strategy,Design Research,Information Architecture"
167,Stephen Wilson,Person,37,Principal Software Engineer,TechCorp,Engineering,San Francisco,142000,12,"Software Engineering,Technical Leadership,Architecture"
168,Caroline Davis,Person,26,Junior Data Scientist,MLCorp,AI,Palo Alto,78000,3,"Data Science,Machine Learning,Python"
169,Carl Garcia,Person,32,DevSecOps Engineer,SecureTech,Security,Washington DC,93000,7,"DevSecOps,Security Automation,Compliance"
170,Janet Kim,Person,29,Frontend Architect,WebStudio,Engineering,Portland,99000,6,"Frontend Architecture,Performance,Scalability"
171,Ralph Martinez,Person,35,Director of Data,DataCorp,Leadership,Boston,145000,11,"Data Leadership,Analytics Strategy,Team Management"
172,Cheryl Chen,Person,28,Integration Specialist,IntegrationCorp,Engineering,Dallas,76000,4,"System Integration,APIs,Data Migration"
173,Jose Anderson,Person,31,Site Reliability Engineer,CloudTech,Operations,Seattle,87000,6,"Site Reliability,Monitoring,Automation"
174,Frances Lee,Person,27,Product Designer,DesignStudio,Design,Los Angeles,71000,4,"Product Design,User Research,Design Systems"
175,Benjamin Brown,Person,34,Senior Backend Developer,TechCorp,Engineering,New York,101000,8,"Backend Development,APIs,Database Design"
176,Marie Wilson,Person,30,Technical Account Manager,TechCorp,Customer Success,San Francisco,84000,6,"Account Management,Technical Support,Customer Relations"
177,Roger Davis,Person,36,Principal Data Scientist,MLCorp,AI,Palo Alto,138000,10,"Data Science,AI Research,Team Leadership"
178,Donna Garcia,Person,25,Junior Software Engineer,StartupXYZ,Engineering,Austin,64000,2,"Software Development,Web Development,Learning"
179,Jerry Kim,Person,33,Cloud Solutions Architect,CloudTech,Architecture,Seattle,115000,8,"Cloud Architecture,Migration,Best Practices"
180,Judith Martinez,Person,29,Performance Analyst,SpeedTech,Analytics,Portland,79000,5,"Performance Analysis,Optimization,Metrics"
181,Terry Chen,Person,32,Senior Product Manager,ProductCorp,Product,San Francisco,109000,8,"Product Management,Strategy,Market Analysis"
182,Gloria Anderson,Person,28,Quality Assurance Lead,TestCorp,Leadership,Denver,82000,5,"QA Leadership,Test Strategy,Team Management"
183,Harold Lee,Person,35,Staff Software Engineer,BigTech,Engineering,Mountain View,152000,11,"Software Engineering,Scalability,Mentoring"
184,Theresa Brown,Person,27,Digital Product Manager,DigitalCorp,Product,New York,83000,4,"Digital Products,User Experience,Analytics"
185,Arthur Wilson,Person,38,VP of Technology,TechCorp,Executive,San Francisco,172000,14,"Technology Leadership,Strategic Planning,Innovation"
186,Phyllis Davis,Person,26,Junior DevOps Engineer,CloudTech,Operations,Seattle,71000,3,"DevOps,Automation,Learning"
187,Lawrence Garcia,Person,31,Senior Security Engineer,SecureTech,Security,Washington DC,97000,7,"Security Engineering,Architecture,Risk Assessment"
188,Helen Kim,Person,29,Business Systems Analyst,BusinessCorp,Business,Chicago,78000,5,"Business Analysis,Systems Integration,Process Improvement"
189,Wayne Martinez,Person,34,Technical Writer,TechCorp,Documentation,San Francisco,74000,6,"Technical Documentation,API Documentation,Content Management"
190,Ruth Chen,Person,30,Data Platform Engineer,DataCorp,Engineering,Boston,91000,6,"Data Platforms,Infrastructure,Big Data"
191,Eugene Anderson,Person,33,Senior Solutions Engineer,CloudTech,Solutions,Seattle,96000,8,"Solutions Engineering,Customer Success,Technical Sales"
192,Shirley Lee,Person,27,Junior Product Designer,DesignStudio,Design,Los Angeles,62000,3,"Product Design,UI/UX,User Research"
193,Louis Brown,Person,36,Director of Engineering,TechCorp,Leadership,San Francisco,158000,12,"Engineering Leadership,Strategy,Organizational Development"
194,Virginia Wilson,Person,28,Marketing Technology Specialist,MarTech,Marketing,Austin,73000,4,"Marketing Technology,Automation,Analytics"
195,Philip Davis,Person,32,Senior Full Stack Developer,WebDev,Engineering,Remote,94000,7,"Full Stack Development,JavaScript,Cloud"
196,Barbara Garcia,Person,25,Graduate Product Manager,ProductCorp,Product,San Francisco,71000,2,"Product Management,Market Research,Analytics"
197,Johnny Kim,Person,35,Principal Security Engineer,SecureTech,Security,Washington DC,125000,10,"Security Architecture,Leadership,Strategy"
198,Dorothy Martinez,Person,31,Senior Data Analyst,DataCorp,Analytics,Boston,85000,7,"Data Analysis,Business Intelligence,Visualization"
199,Frank Chen,Person,29,Infrastructure Architect,CloudTech,Architecture,Seattle,112000,7,"Infrastructure Architecture,Cloud,Scalability"
200,Martha Anderson,Person,34,Senior UX Designer,DesignStudio,Design,Los Angeles,86000,8,"User Experience,Design Leadership,Research"
201,Vincent Lee,Person,26,Software Developer,TechCorp,Engineering,San Francisco,81000,4,"Software Development,Java,Problem Solving"
202,Deborah Brown,Person,30,Product Operations Manager,ProductCorp,Operations,San Francisco,87000,6,"Product Operations,Process,Analytics"
203,George Wilson,Person,37,Senior Site Reliability Engineer,CloudTech,Operations,Seattle,105000,9,"Site Reliability,Infrastructure,Automation"
204,Amy Davis,Person,28,Junior Data Engineer,DataCorp,Analytics,Boston,73000,4,"Data Engineering,ETL,Python"
205,Ronald Garcia,Person,33,Technical Program Manager,TechCorp,Program Management,New York,102000,8,"Program Management,Technical Coordination,Risk Management"
206,Kimberly Kim,Person,27,UX Researcher,ResearchCorp,Research,San Francisco,80000,4,"User Research,Usability,Design Research"
207,Jason Martinez,Person,35,Senior DevOps Engineer,CloudTech,Operations,Seattle,98000,8,"DevOps,Kubernetes,CI/CD"
208,Sarah Chen,Person,29,Business Intelligence Developer,BICorp,Analytics,Chicago,82000,5,"Business Intelligence,Data Warehousing,SQL"
209,Matthew Anderson,Person,32,Senior Product Manager,ProductCorp,Product,San Francisco,106000,8,"Product Management,Strategy,Leadership"
210,Melissa Lee,Person,26,Junior Security Analyst,SecureTech,Security,Washington DC,67000,3,"Security Analysis,Monitoring,Incident Response"
211,Robert Brown,Person,34,Staff Data Scientist,MLCorp,AI,Palo Alto,128000,9,"Data Science,Machine Learning,Research"
212,Lisa Wilson,Person,31,Senior Frontend Developer,WebStudio,Engineering,Portland,89000,6,"Frontend Development,React,Performance"
213,David Davis,Person,28,Platform Engineer,PlatformCorp,Engineering,San Francisco,86000,5,"Platform Development,Infrastructure,APIs"
214,Nancy Garcia,Person,33,Senior Business Analyst,BusinessCorp,Business,New York,88000,7,"Business Analysis,Requirements,Process Design"
215,Mark Kim,Person,30,Technical Lead,TechCorp,Engineering,San Francisco,108000,7,"Technical Leadership,Architecture,Team Management"
216,Susan Martinez,Person,27,Content Designer,ContentCorp,Design,Los Angeles,68000,4,"Content Design,UX Writing,Information Architecture"
217,Paul Chen,Person,36,Principal Engineer,BigTech,Engineering,Mountain View,155000,12,"Engineering Excellence,Innovation,Leadership"
218,Donna Anderson,Person,25,Junior Marketing Analyst,MarketingCorp,Marketing,Chicago,63000,2,"Marketing Analytics,Social Media,Campaign Analysis"
219,Kenneth Lee,Person,32,Senior Cloud Engineer,CloudTech,Infrastructure,Seattle,95000,7,"Cloud Engineering,AWS,Infrastructure as Code"
220,Carol Brown,Person,29,Product Marketing Specialist,ProductCorp,Marketing,San Francisco,76000,5,"Product Marketing,Positioning,Competitive Intelligence"
221,Steven Wilson,Person,35,Director of Data Science,MLCorp,Leadership,Palo Alto,148000,11,"Data Science Leadership,AI Strategy,Team Building"
222,Betty Davis,Person,28,Junior Backend Developer,TechCorp,Engineering,New York,79000,4,"Backend Development,Python,Database Design"
223,Edward Garcia,Person,31,Senior Solutions Architect,CloudTech,Architecture,Seattle,118000,8,"Solutions Architecture,Customer Engagement,Cloud Migration"
224,Helen Kim,Person,26,UX/UI Designer,DesignStudio,Design,Los Angeles,72000,4,"UI/UX Design,Design Systems,Prototyping"
225,Thomas Martinez,Person,34,Senior Data Engineer,DataCorp,Analytics,Boston,97000,8,"Data Engineering,Spark,Data Pipelines"
226,Sandra Chen,Person,30,Quality Engineering Manager,TestCorp,Leadership,Denver,92000,6,"QA Management,Test Strategy,Process Improvement"
227,Donald Anderson,Person,37,VP of Product,ProductCorp,Executive,San Francisco,168000,13,"Product Leadership,Strategy,Vision"
